Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B
J9JIH8,0.2671870567703456,-4.507920112040702,0.26396623880708464,0.7952468595783756,0.9806880266506459,-4.609047598431315
Q9Y5G2,-0.15114188120462302,1.6655585560798138,-0.2637995716256933,0.7953729882304617,0.9806880266506459,-4.609048970974254
H0YB68,-0.3453109680834894,-4.685687116946369,-0.26314584401865593,0.7958677660624369,0.9806880266506459,-4.609054346349814
Q9NRL2,-0.17755952425083432,-0.8011519738983235,-0.26306021258456264,0.7959325834321336,0.9806880266506459,-4.609055049496621
A0A087WY68,0.3265677791620753,-0.5479741986434395,0.260502503144972,0.7978693123263951,0.9806880266506459,-4.609075947967487
P01871,0.1161910815295828,5.35684374868125,0.25879852562391836,0.7991603446418447,0.9806880266506459,-4.609089759380735
A0A590UJQ1,-0.12579094486935594,1.2932239074523444,-0.25699989320366057,0.8005237473591105,0.9806880266506459,-4.609104241322554
A0A0C4DH25,-0.11252472337188779,3.363688722965511,-0.255555784514838,0.8016188968745002,0.9806880266506459,-4.6091157968738665
Q13029,-0.17128563890174653,-1.3432117672599724,-0.255451456790415,0.8016980311184249,0.9806880266506459,-4.609116629208784
P19827,-0.13297741181935585,3.4264948684020355,-0.25505449967150695,0.8019991498451321,0.9806880266506459,-4.609119793108392
A0A088AWN3,-0.11983825006946902,1.3618693369586643,-0.2549940879333226,0.8020449790529338,0.9806880266506459,-4.609120274188631
C9JC48,-0.23878132765917037,-4.787292820650547,-0.2548988889786401,0.8021171998581752,0.9806880266506459,-4.609121032064369
A0A804HL72,-0.10139704297614172,1.2718964293414474,-0.25440137936318613,0.8024946558853117,0.9806880266506459,-4.609124988192889
E7EM64,-0.14186357601504618,-2.8387432427541794,-0.2537905087143772,0.8029581871211242,0.9806880266506459,-4.609129835352622
A0A024R6I7,-0.10584199178058284,-0.5658229251938959,-0.253520261792719,0.8031632759339096,0.9806880266506459,-4.609131976060252
P01009,-0.10584199164523245,5.8870750059234185,-0.2535202614700418,0.8031632761787963,0.9806880266506459,-4.609131976062806
Q5JWV3,-0.32612315112436496,-2.834447148533143,-0.25268042640700106,0.8038007170665995,0.9806880266506459,-4.609138614327202
A0A1B0GTN4,-0.12203962545964281,-0.44157629767836254,-0.25048108576103,0.8054707105903811,0.9806880266506459,-4.609155895746037
P47992,-0.1760690998483383,-0.3748085012317182,-0.2500464887205135,0.8058008225046335,0.9806880266506459,-4.6091592930177026
I6L8A6,-0.12628540252437848,2.146157400353537,-0.24993160324002575,0.8058880937565472,0.9806880266506459,-4.609160190114084
H0YKX0,0.2343256991063285,-2.57046370028953,0.24949446699569006,0.8062201828476643,0.9806880266506459,-4.60916359983248
J3KSN3,-0.2473527060181575,-3.7702328770364693,-0.2494235228079185,0.8062740822308461,0.9806880266506459,-4.6091641526520055
H0YGK4,0.2450072380946562,-3.2359293747659725,0.24920763210655522,0.8064381099969075,0.9806880266506459,-4.609165833988459
O60890,-0.1494811700931793,1.6119434403221247,-0.24890232117214728,0.806670092737333,0.9806880266506459,-4.609168209274547
E7EQI7,0.24557206103007845,-3.9251987561227755,0.24730588011041094,0.8078834115716947,0.9806880266506459,-4.60918058272618
C9J8E1,-0.16791794984852426,1.0525891262613347,-0.24707461166887118,0.8080592211857978,0.9806880266506459,-4.609182368705391
Q9H714,0.1374110565651363,-1.1322127062578562,0.2468807636356602,0.8082065921133464,0.9806880266506459,-4.609183864436517
O75821,-0.13881456449845375,-3.0131725304195514,-0.24501334344700096,0.8096266606690241,0.9806880266506459,-4.6091982142311085
A0A2R8Y437,-0.21864053139720818,3.3510407188768108,-0.2448471770572674,0.8097530543513178,0.9806880266506459,-4.609199485902342
A0A0C4DH38,-0.21996283283641116,-4.125277640984099,-0.24367053722711854,0.8106482156305511,0.9806880266506459,-4.609208466411099
A8MUN2,0.13684895308818845,3.618866158833596,0.2431190389503859,0.8110678769028482,0.9806880266506459,-4.609212660961857
C9JUU5,-0.19838394765314127,0.8507917227968926,-0.24248190775589262,0.8115527745760942,0.9806880266506459,-4.609217495156607
K7ERP3,-0.12921276881445232,1.0538340270413817,-0.24042959660996116,0.8131152537465729,0.9806880266506459,-4.609232981963859
Q8TDY4,-0.1270734757812816,0.8882617528390101,-0.23974592289566585,0.8136359345872914,0.9806880266506459,-4.609238112183263
