Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B
Q9H714,194.9473980384618,-413.4034328576923,1.4888357771295364,0.16086560267576241,0.6190037569142104,-4.5951194562250155
Q8IYY4,-164.05409963846154,-284.07967033076915,-1.4879174506167072,0.1611044394836648,0.6190037569142104,-4.595119457038232
A0A8I5KR62,-960.6680084999998,3040.6949559346153,-1.4876004979473214,0.16118694163473893,0.6190037569142104,-4.595119457318858
F2Z3A4,-267.3070982442292,-666.0054249985393,-1.486170184452082,0.1615596942479693,0.6190037569142104,-4.595119458584943
Q7Z443,-362.7480666653853,1760.5862314673077,-1.4838753065107024,0.16215928369522364,0.6190037569142104,-4.595119460615279
Q14624,-6092.113472884601,29061.785737088463,-1.4807251374646442,0.162985400668077,0.6190037569142104,-4.595119463400214
Q9Y2H0,-3027.954592269227,14335.245210088462,-1.4783001961540965,0.1636237499748662,0.6190037569142104,-4.595119465542341
Q9UK13,-7992.963511418086,19485.66799878327,-1.4772946273180325,0.16388907779361783,0.6190037569142104,-4.595119466430207
P22223,-864.0415443653849,1067.8464754442307,-1.4765548684843375,0.16408450123830082,0.6190037569142104,-4.595119467083216
A0A6Q8PFK1,-1983.3185830384618,6202.422121626923,-1.4759682558756728,0.16423960757170847,0.6190037569142104,-4.5951194676009415
Q14008,-1000.9907795192303,3629.771286675,-1.4756555613424738,0.16432233773647925,0.6190037569142104,-4.595119467876881
K7ENB9,1576.3630011461546,1699.6520315576922,1.4749133937900298,0.16451883517212174,0.6190037569142104,-4.595119468531714
P08519,-3441.54555211538,13398.49595905,-1.4735163428107303,0.16488925847320202,0.6190037569142104,-4.595119469763994
H3BV43,205.6610554675384,-813.8265665235,1.4730982702110245,0.16500024568323166,0.6190037569142104,-4.595119470132663
F8W705,-222.84900984384632,-210.06797033730766,-1.471906145021527,0.165317069428057,0.6190037569142104,-4.5951194711836765
Q53GS7,-3471.6070608846094,15684.59046131923,-1.4703429089055113,0.16573329826940467,0.6190037569142104,-4.595119472561334
Q9P2N2,-215.55208204230775,-37.604733667307656,-1.4701102848179888,0.16579531244557222,0.6190037569142104,-4.595119472766289
F8W057,-321.05253309938473,-663.1949252275,-1.469667837679356,0.16591331635421905,0.6190037569142104,-4.595119473156074
Q96RY5,-7533.459748303845,12502.166061690385,-1.4690111225759888,0.16608859760890496,0.6190037569142104,-4.595119473734531
